id,datetime,latitude,longitude,magnitude,location,location-broad
10001,11/07/2022 15:39,19.19400024,-155.491333,6,Hawaii,North America
10002,11/07/2022 15:45,19.17499924,-155.5010071,7,Hawaii,North America
10003,11/07/2022 16:21,19.15099907,-155.4741669,5,Hawaii,North America
10004,11/07/2022 16:22,19.17483333,-155.4843333,11,Hawaii,North America
10005,11/07/2022 16:39,1.4277,124.0941,36,Indonesia,Asia
10006,11/07/2022 16:47,38.684,-116.1046,22,Nevada,North America
10007,11/07/2022 16:49,41.8158,-83.5123,8,Michigan,North America
10008,11/07/2022 17:16,26.6588,54.2887,42,Iran,Middle East
10009,11/07/2022 17:23,35.11516667,-95.52833333,9,Oklahoma,North America
10010,11/07/2022 17:32,26.5869,54.2687,36,Iran,Middle East
10011,11/07/2022 17:45,35.6025,-117.4041667,10,California,North America
10012,11/07/2022 17:51,37.5608,141.474,34,Japan,Asia
10013,11/07/2022 17:58,38.7578,-116.0849,6,Nevada,North America
10014,11/07/2022 18:04,-21.3322,-177.6654,32,Tonga,Oceania
10015,11/07/2022 18:24,42.3723,-126.8246,10,Oregon,North America
10016,11/07/2022 19:01,54.9045,160.4411,34,Russia,Europe
10017,11/07/2022 19:43,-5.4399,154.2551,40,Papua New Guinea,Oceania
10018,11/07/2022 20:09,-20.372,-175.8333,45,Tonga,Oceania
10019,11/07/2022 20:32,41.5033,-106.7662,11,Wyoming,North America
10020,11/07/2022 20:33,19.22266579,-155.3574982,32,Hawaii,North America
10021,11/07/2022 20:37,-0.2502,123.0551,42,Indonesia,Asia
10022,11/07/2022 21:06,-18.1233,169.0499,77,Vanuatu,Oceania
10023,11/07/2022 21:10,-18.1496,168.9566,88,Vanuatu,Oceania
10024,11/07/2022 21:12,62.6148,-149.7923,13,Alaska,North America
10025,11/07/2022 21:40,38.5496,-116.2641,7,Nevada,North America
10026,11/07/2022 22:23,-14.9761,-173.0223,74,Tonga,Oceania
10027,11/07/2022 22:27,19.49983333,-155.6538333,6,Hawaii,North America
10028,11/07/2022 22:42,39.394,-122.9131667,7,California,North America
10029,11/07/2022 22:43,67.9269,-146.6714,8,Alaska,North America
10030,11/07/2022 23:02,38.7192,-116.0873,15,Nevada,North America
10031,11/07/2022 23:02,18.98233333,-155.4361667,11,Hawaii,North America
10032,11/07/2022 23:38,-15.3651,-172.6796,40,Tonga,Oceania
10033,11/07/2022 23:57,18.95066667,-65.22816667,20,Puerto Rico,Central America
10034,12/07/2022 00:01,60.9009,-147.4492,6,Alaska,North America
10035,12/07/2022 00:18,-22.9328,-175.8689,38,Tonga,Oceania
10036,12/07/2022 00:19,19.21316719,-155.3939972,5,Hawaii,North America
10037,12/07/2022 00:28,19.66966667,-155.2001667,8,Hawaii,North America
10038,12/07/2022 00:28,-22.4194,170.4677,38,New Caledonia,Oceania
10039,12/07/2022 00:35,-15.2171,-172.908,81,Tonga,Oceania
10040,12/07/2022 00:37,31.61944677,-104.1323993,9,Texas,North America
10041,12/07/2022 01:06,19.164,-155.4971667,12,Hawaii,North America
10042,12/07/2022 01:15,19.17650032,-155.4949951,8,Hawaii,North America
10043,12/07/2022 01:47,34.1713333,-117.3131667,10,California,North America
10044,12/07/2022 01:56,19.11899948,-155.4208374,6,Hawaii,North America
10045,12/07/2022 02:04,-14.9045,-172.996,77,Samoa,Oceania
10046,12/07/2022 02:11,-14.0764,24.6012,40,Zambia,Africa
10047,12/07/2022 02:23,37.9748,22.8874,34,Greece,Europe
10048,12/07/2022 02:32,18.946,-65.302,22,Puerto Rico,Central America
10049,12/07/2022 02:50,5.0863,125.206,38,Philippines,Asia
10050,12/07/2022 02:52,-5.9998,104.3005,55,Indonesia,Asia
10051,12/07/2022 02:56,19.0023,-65.201,23,Puerto Rico,Central America
10052,12/07/2022 02:58,60.3975,-149.0117,38,Alaska,North America
10053,12/07/2022 03:03,-15.0314,-172.6745,50,Samoa,Oceania
